A                   , B                   , C                  , D                   , E                   , F                  , G                   , H                   , I                   , J                   , Category, Salary
49.67141530112327   , -13.82643012        ,                    , 152.30298564080255  ,                     , -23.41369569       , 157.92128155073914  ,                     , -46.94743859        , 54.25600435859646   ,         , 101033
-46.34176928        , -46.57297536        , 24.196227156603413 , -191.3280245        ,                     , -56.22875292       ,                     , 31.424733259527386  ,                     , -141.2303701        , A       , 55487
                    , -22.57763005        ,                    , -142.4748186        , -54.43827245        , 11.092258970986608 , -115.0993577        , 37.569801834567194  , -60.06386899        , -29.16937498        , D       , 
-60.17066122        , 185.22781845089378  , -1.349722474       ,                     , 82.25449121         , -122.084365        , 20.88635950047554   , -195.9670124        , -132.8186049        , 19.686123586912352  , A       , 40762
73.84665799954104   , 17.136828118997048  , -11.56482824       , -30.11036956        , -147.852199         , -71.98442084       ,                     , 105.71222262189157  ,                     , -176.3040155        , D       , 74544
32.40839694         ,                     , -67.69220003       , 61.16762888408679   , 103.09995224959509  , 93.12801191161985  , -83.92175232        , -30.92123759        ,                     , 97.55451271223592   , D       , 143044
-47.91742378        , -18.56589767        , -110.6334974       , -119.6206624        , 81.25258223941981   , 135.6240028570823  , -7.201012158        ,                     , 36.16360250476342   , -64.51197546        , E       , 139325
36.139560550841395  , 153.80365664659692  , -3.582603911       , 156.4643655814006   , -261.9745104        , 82.19025043752238  , 8.704706823817123   ,                     ,                     , -198.7568915        ,         , 83209
-21.96718878        ,                     , 147.7894044741516  , -51.82702183        ,                     , -50.17570436       ,                     ,                     , -52.97602038        , 51.32674331133561   , A       , 132190
9.707754934804038   , 96.86449905328892   , -70.20530939       , -32.76621466        , -39.21081531        ,                    ,                     , 26.105527217988932  ,                     , -23.45871334        , D       , 
-141.5370742        , -42.06453228        , -34.27145165       , -80.22772692        , -16.12857117        , 40.40508568145384  , 188.61859012105302  , 17.457781283183895  , 25.755039072276436  , -7.444591577        , D       , 30248
                    , -2.651387545        , 6.023020994102644  , 246.32421124852863  , -19.23609648        , 30.154734233361246 , -3.471176971        , -116.8678038        , 114.28228145150206  , 75.19330326867741   ,         , 89998
                    , -90.93874548        ,                    , -140.1851063        , 58.68570938002703   , 219.04556258099785 ,                     , -56.62977296        , 9.965136508764122   , -50.34756541        , A       , 90792
                    ,                     , -106.2303714       ,                     , -91.94242342        , 154.99344050175395 ,                     ,                     , 81.35172173696698   , -123.0864316        ,         , 
22.74599346041294   , 130.71427542824281  , -160.7483235       , 18.46338585323042   , 25.988279424842354  ,                    , -123.6950711        , -132.0456613        , 52.194156561689766  , 29.698467323318607  , B       , 
25.049285034587655  , 34.64482094969757   ,                    , 23.225369716100356  , 29.307247329868126  , -71.4351418        , 186.57745111447565  , 47.38329209117875   ,                     , 65.65536086338297   , A       , 
-97.46816702        , 78.70846037         , 115.85955790074041 , -82.06823184        ,                     ,                    , 82.206016           , 189.67929826539475  , -24.5388116         , -75.37361644        , D       , 
-88.95144296        , -81.5810285         , -7.710170941       , 34.11519748166439   , 27.669079933001907  ,                    , 1.300189187790702   , 145.3534077157317   , -26.46568332        , 272.01691665896186  , A       , 86137
62.566734776500624  , -85.71575564        , -107.0892498       , 48.24724152431853   , -22.34627853        , 71.40004941        , 47.32376245735448   , -7.282891266        , -84.67937181        ,                     ,         , 32163
-44.65149521        , 85.63987943234723   , 21.409374413020394 , -124.5738779        , 17.31809259         , 38.531737972883676 , -88.38574362        , 15.372510594552791  , 5.820871844599989   , -114.2970298        , A       , 50704
35.77873603482833   , 56.07845263682344   , 108.3051243175277  , 105.38020520349029  , -137.7669368        , -93.78250399       , 51.50352672086598   ,                     , 51.504768630604794  ,                     ,         , 32215
                    , 113.55656401805989  , 95.40017634932023  , 65.13912513         , -31.52692446        , 75.89692204932675  , -77.28252145        , -23.68186067        ,                     , 8.187413938632256   , A       , 
231.46585666735086  , -186.7265193        , 68.62601903745134  , -161.2715871        ,                     , 108.89505969673661 , 6.428001909546277   , -107.7744778        , -71.53037093        , 67.95977489346758   , C       , 68583
-73.03666317        ,                     ,                    , -65.16003476        , 214.39440893253257  , 63.391902231801126 , -202.5142587        ,                     , -66.17864648        , 85.24333348         ,         , 147676
-79.25207384        , -11.47364415        , 50.498727898045715 , 86.57551941701215   , -120.0296407        , -33.45012358       , -47.49453112        , -65.33292326        , 176.5454240281097   , 40.498171096095554  , E       , 63682
                    , 91.78619470547761   , 212.21561970126334 , 103.24652605511469  , -151.9369966        ,                    , 126.69111491866228  , -70.76694656        ,                     , 77.46340534293368   , A       , 80790
-92.69304716        , -5.952535606        , -324.126734        ,                     , -25.25681514        , -124.7783182       , 163.24113039316353  , -143.0141378        , -44.00444867        , 13.074057728609134  , E       , 
144.12732890661155  , -143.5862151        , 116.31637521549595 , 1.0233061019587049  , -98.1508651         , 46.210347426327075 , 19.905969557347003  , -60.02168772        , 6.9802084990018916  ,                     , A       , 62192
11.351734525124805  , 66.21306745210467   ,                    ,                     ,                     , -195.20878         , -15.1785095         , 58.831720648457654  ,                     , -62.26995198        , C       , 144156
-20.81222504        ,                     , -58.93647569       , 84.96020970210246   , 35.701548596504736  , -69.29095953       , 89.95998754332507   , 30.729952087660934  , 81.28621188389602   ,                     , D       , 126561
-82.89950109        , -56.01810402        ,                    , 61.037026543346485  ,                     , 11.732738330878199 , 127.7664895788425   , -59.15713888        , 54.709738117003795  , -20.21926524        , E       , 142608
-21.76812032        , 109.8776852         ,                    , 81.35096360006385   , 130.5478807154329   , 2.100384163275905  , 68.19529713         , -31.02667566        , 32.41663524884421   , -13.01430544        , B       , 61928
9.699596499271818   , 59.51570254369136   , -81.82206832       , 209.2387276         , -100.6017381        , -121.4188613       ,                     , 79.16626939629359   , 62.41198170521551   , 62.83455092642799   , D       , 41642
-1.224677285        , -89.72543715        , 7.5804558193726335 , -67.71617115        , 97.51197334177512   , -14.70573815       ,                     , -32.13858417        , 41.293145427562436  , -56.37245528        , C       , 83566
-82.22203956        ,                     ,                    , -50.69431754        , -47.10383056        ,                    , -144.8084341        , -140.7463774        , -71.84442213        , -21.34471517        , A       , 75672
                    , 147.5356216949552   , 85.76596232020194  , -15.993853          , -1.90162079         , -100.2529365       ,                     , -28.86586389        ,                     , -82.72309436        , E       , 
51.93465142411723   , 153.27389130025776  , -10.87601485       ,                     , 69.01439917111125   , -40.12204719       , 22.409248181041676  , 1.259240078179486   ,                     ,                     , C       , 72078
                    ,                     , 145.11436077950418 , 95.92708260852069   , 215.31824575115564  , -76.73475629       , 87.23206367206782   , 18.334200573835176  , 218.98029332176722  , -80.82982854        , E       , 
-83.97218422        , -59.93926454        , -212.3895724       ,                     , -75.91326616        ,                    , 34.17559757771594   ,                     ,                     , -57.69036557        , A       , 
-89.84146713        , 49.191917150650575  , -132.0233207       ,                     , 117.9440120721287   ,                    , -171.3134529        , 135.3872374165413   , -11.45398453        ,                     , C       , 
-159.4427659        , -59.9375023         , 0.5243699718183166 , 4.698059376474205   , -45.00654715        ,                    ,                     ,                     , 12.029563171189887  , 51.44388341         , A       , 33041
